| 1 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 2 | 6011521234567815 | DISCOVER-CARD | 128.00 | 174 | 06/29 | ANULADA |
| 3 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 4 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 5 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 6 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 7 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 8 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 9 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 10 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 11 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 12 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 13 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 14 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 15 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 16 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 17 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 18 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 19 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
| 20 | 4093550050382492 | VISA | 12.00 | 222 | 12/25 | COMPRA |
